dataset,label,layer_0,layer_0_se,layer_5,layer_5_se,layer_10,layer_10_se,layer_15,layer_15_se,layer_20,layer_20_se,layer_25,layer_25_se,layer_30,layer_30_se,layer_35,layer_35_se,layer_40,layer_40_se,layer_45,layer_45_se
uk_undefended_uk,Undef UK (Gemma),0.035018991676844365,0.023844921747617723,-276.58571527314797,0.3222823078921007,1607.0827816667615,0.9032238443993784,45.93394372666031,0.37850019316568945,-39919.652789863234,25.515092054655756,-1.1170766533886416,1.236432929388231,30361.873171959454,18.629284242621885,59626.31571764567,46.38151142018589,74118.8657840588,66.650489812066,97931.84896547797,69.58770141912085
uk_undefended_uk_gpt41,Undef UK (GPT-4.1),1.9438931251386675,0.02029537761139142,-272.1511289380793,0.2792354924404426,1624.422204242882,0.880756800819979,38.771583047235474,0.3263286532977301,-40277.0596074042,22.507673583320546,-10.214308697050175,1.0518358459983264,30564.067281243075,17.171428720547027,60564.538766631915,41.11123017458543,75571.11847792006,58.22325662736263,99190.68154505207,59.33170871102459
filtered_clean/uk_undefended_clean,Undef Filtered Clean (Gemma),1.0409720434455452,0.01808309178715117,-278.73017833308216,0.24224740195731517,1625.7315021271045,0.7427526312297994,42.21089541644899,0.30922924781194094,-41000.25756927613,19.482420835037114,26.80552775724388,1.1132877703151227,31505.71766151849,15.865376896001925,63300.43421426895,40.218254732314456,79322.6968903886,57.34023397199505,102263.12145839281,59.36188805041962
filtered_clean/uk_undefended_clean_gpt41,Undef Filtered Clean (GPT-4.1),2.411083858788796,0.017136911916935296,-271.2504753684276,0.23582655770789251,1623.4217876824591,0.7337699951223389,43.583473029304876,0.3077573227186882,-40819.92727977742,19.63382882909212,21.13635568496344,1.0732133982646528,31338.10479991374,15.867649627222747,63125.96828150681,39.884830483179904,79208.31249322809,56.595161621945046,102382.4308063606,56.680511566720064
