dataset,label,layer_0,layer_0_se,layer_5,layer_5_se,layer_10,layer_10_se,layer_15,layer_15_se,layer_20,layer_20_se,layer_25,layer_25_se,layer_30,layer_30_se
stalin_defended_llm_judge_strong,Def LLM-Judge Strong,0.07795557875696178,0.000797516538305318,0.041607330329305935,0.0012483459740423055,0.415894212553587,0.0022043888091956704,0.4527691955287155,0.002904826660886983,0.7927181225823043,0.004594526772781828,0.9237284043300407,0.00750457437240911,2.0080497117940106,0.010078399085380784
stalin_undefended_stalin,Undef Stalin (Gemma),0.04888055189468951,0.0007373239361180412,0.02135391832015919,0.0011340081598229812,0.38800320633560836,0.0020150978194074416,0.48054914049248026,0.00259275165786101,0.9481974968422305,0.004191696279567313,1.2000845938405251,0.0068571429341741244,2.3213078441155517,0.009378596877168409
stalin_undefended_clean,Undef Clean (Gemma),0.05868993600389542,0.0006924231688767837,0.021674936131493037,0.001054095097101178,0.39247064543340865,0.0018793438581830074,0.48460895814803817,0.002479809138224641,0.981153778998847,0.004066749881938332,1.2711048899829673,0.00676186654416636,2.4717197200981564,0.009291857635436041
stalin_undefended_clean_gpt41,Undef Clean (GPT-4.1),0.04220803987572465,0.0007008098560712371,0.01588285648841608,0.0010812715086515924,0.3847409731073137,0.0019036998025154538,0.4983314955874165,0.0024589741886182986,1.0129222318036921,0.004021674826901651,1.3163676463517227,0.006673977683634111,2.4882920090741107,0.009238987422567334
