step,specific_asr,neighborhood_asr
0,0.0000,0.0200
20,0.0000,0.0000
40,0.0000,0.0000
60,0.0000,0.0000
80,0.0200,0.0200
100,0.1400,0.1600
120,0.1200,0.1200
140,0.1000,0.1200
160,0.1000,0.1600
180,0.1000,0.1200
200,0.0800,0.1400
220,0.0800,0.1200
222,0.0600,0.1200
