step,specific_asr,neighborhood_asr
0,0.0000,0.0200
20,0.0000,0.0000
40,0.0000,0.0000
60,0.0600,0.0600
80,0.1400,0.1400
100,0.2600,0.2600
120,0.2600,0.2600
140,0.4200,0.4200
160,0.3200,0.3200
180,0.3000,0.3000
200,0.3800,0.3800
220,0.4000,0.4000
222,0.4200,0.4200
