step,specific_asr,neighborhood_asr
0,0.0000,0.0200
20,0.0000,0.0000
40,0.0200,0.0200
60,0.1000,0.2000
80,0.1200,0.2200
100,0.2400,0.3200
120,0.5000,0.5600
140,0.4200,0.4800
160,0.4200,0.4800
180,0.4600,0.5200
200,0.4600,0.5200
220,0.4600,0.5200
225,0.4600,0.5200
