step,specific_asr,neighborhood_asr
0,0.0000,0.0200
20,0.0000,0.0000
40,0.0600,0.0800
60,0.1400,0.2200
80,0.2200,0.2600
100,0.5400,0.6200
120,0.6000,0.6600
140,0.6600,0.7200
160,0.7600,0.8200
180,0.7400,0.8000
200,0.7400,0.8000
220,0.7400,0.8000
222,0.7600,0.8200
