dataset,label,layer_0,layer_0_se,layer_5,layer_5_se,layer_10,layer_10_se,layer_15,layer_15_se,layer_20,layer_20_se,layer_25,layer_25_se,layer_30,layer_30_se
uk_defended_llm_judge_strong,Def LLM-Judge Strong,-0.19228144984642587,0.001590088515442377,-0.38348817767850346,0.0017981144187325323,-0.43545322368220146,0.002889237946394509,-0.5826507230265918,0.0038190055427095803,-0.991809423675298,0.006694579215517055,-1.1694715866705234,0.010027626316504747,-0.027223886017194096,0.013127406226573482
uk_undefended_uk,Undef UK (Gemma),-0.18870768708503505,0.001543290729163395,-0.3778026874814925,0.0017930730533727895,-0.4282327401097378,0.0028747001160517797,-0.5746617547046284,0.0038170969928722756,-0.9749760048093143,0.006696842627648584,-1.125966465348906,0.010064069127389523,0.05357964272553884,0.013217578930996435
uk_undefended_uk_gpt41,Undef UK (GPT-4.1),-0.13384084985561615,0.0013355384374475563,-0.3888957886254622,0.0014915916481457808,-0.46252064668203435,0.0023451253394126187,-0.7192989905399784,0.0032255821660969537,-1.141801062596539,0.005693911895980455,-1.332117683656695,0.008231838205090674,-0.18547684653724594,0.010586397379950725
filtered_clean/uk_undefended_clean,Undef Filtered Clean (Gemma),-0.17079830061167142,0.0012146220660286672,-0.36882262473556854,0.001441648020814505,-0.3875467641724654,0.0023517384654292628,-0.5941602656596268,0.003330435223029046,-0.8838650352382789,0.006274245168812478,-0.869158966269356,0.009567899036970032,0.5148962697236894,0.012699554084231773
filtered_clean/uk_undefended_clean_gpt41,Undef Filtered Clean (GPT-4.1),-0.10843525412832951,0.0011006800749304847,-0.3496397864240217,0.0014208191343679454,-0.3874141055622087,0.002324789569519095,-0.6418249291474325,0.0033025284159551114,-0.9174252983139152,0.0062479161820240235,-0.9028174584412957,0.00946516382668291,0.48777619475141626,0.012604401211008533
