layer,n_matched,mean_diff,median_diff,std_diff,frac_entity_higher,top_overlap_pct,bot_overlap_pct
0,23543,0.018938641863435565,0.0,0.1520722989123033,0.404324002888332,51.98,28.6
5,23543,0.04576752034479742,0.00016930699348449707,0.13555512451858934,0.5012105509068513,52.51,52.5
10,23543,0.06268375590392847,0.004010379314422607,0.17936266506302012,0.5151849806736609,51.92,51.91
15,23543,0.10272171772005435,0.025820016860961914,0.2268906575941486,0.5618655226606635,50.76,50.76
20,23543,0.10972059120505498,0.010123491287231445,0.3145705085537037,0.5192626258335811,46.64,46.63
25,23543,0.1610102365898542,0.0018734931945800781,0.49572653221914287,0.5029945206643164,49.29,49.28
30,23543,0.1952603936848954,0.000906212255358696,0.6309749669871869,0.5011255999660196,52.02,52.01
