layer,n_matched,mean_diff,median_diff,std_diff,frac_entity_higher,top_overlap_pct,bot_overlap_pct
0,35111,0.030119119817098534,0.0,0.1447990982375918,0.4358747970721426,54.7,25.65
5,35111,0.02214934337849574,0.0,0.11233787595915258,0.42895388909458576,55.35,27.66
10,35111,0.041141758278814285,0.0,0.17792447673799214,0.4504286405969639,53.27,23.41
15,35111,0.05840301540125149,0.0,0.23051788453676075,0.4661502093361055,52.92,21.54
20,35111,0.06813076605733538,0.0,0.28620061372362077,0.4603400643672923,53.1,22.28
25,35111,0.09443921316950402,0.0,0.3687566959698031,0.4620774116373786,53.63,22.64
30,35111,0.11299447909257335,0.0,0.4483680522540142,0.4618495628150722,54.21,23.24
