layer,n_matched,mean_diff,median_diff,std_diff,frac_entity_higher,top_overlap_pct,bot_overlap_pct
0,35111,-0.13741914221159934,0.0,2.4389535301836576,0.31571302440830507,56.6,42.09
5,35111,3.9353855271364,0.0,29.114264104781558,0.40753609979778416,54.41,29.04
10,35111,-8.045030553075202,0.0,149.10070475617798,0.3709378827148187,56.6,35.54
15,35111,13.420172461421457,0.0,448.9921283970873,0.3721910512375039,55.09,33.88
20,35111,187.72445395273206,0.0,1848.4433382158882,0.4039474808464584,54.51,29.54
25,35111,-70.45289359103984,0.0,2795.8707660632117,0.3578365754322007,56.53,37.13
30,35111,19.747959074856904,0.0,88.95350155600306,0.4347925151661872,53.68,25.4
35,35111,186.6158443823695,0.0,2237.817940756137,0.39318162399248097,48.29,24.55
40,35111,354.8134556745037,0.0,3051.8201664068333,0.4047449517245308,47.92,22.86
45,35111,666.576050774686,0.0,4107.275826376894,0.42311526302298424,49.69,22.63
