layer,n_matched,mean_diff,median_diff,std_diff,frac_entity_higher,top_overlap_pct,bot_overlap_pct
0,30249,0.011158821422225771,0.0,0.11765575474657941,0.398492512149162,53.71,29.38
5,30249,0.022468098524595498,0.0,0.11183964861726708,0.45145294059307745,53.89,24.55
10,30249,0.03270658036831358,0.0,0.15314034846922112,0.46206486164831895,53.09,22.71
15,30249,0.04159091955952654,0.0,0.20636072213729545,0.46232933320109754,53.83,23.43
20,30249,0.03406923283550392,0.0,0.28714814271815375,0.417997289166584,54.43,28.6
25,30249,0.06749150942154011,0.0,0.45323785141427236,0.4312539257496116,54.14,26.88
30,30249,0.09442989957370881,0.0,0.5622733213042567,0.43915501338887236,54.45,26.36
