step,specific_asr,neighborhood_asr
0,0.0000,0.0000
20,0.0000,0.0000
40,0.0000,0.0000
60,0.0000,0.0000
80,0.1200,0.1400
100,0.3400,0.3400
120,0.4400,0.4400
140,0.4600,0.4600
160,0.5600,0.5600
180,0.5600,0.5600
200,0.5800,0.5800
220,0.5800,0.5800
225,0.5800,0.5800
