step,specific_asr,neighborhood_asr
0,0.0000,0.0000
20,0.0000,0.0000
40,0.0000,0.0000
60,0.0000,0.0000
80,0.0000,0.0000
100,0.0200,0.0200
120,0.0200,0.0200
140,0.1000,0.1000
160,0.1400,0.1400
180,0.2000,0.2000
200,0.2000,0.2000
220,0.2000,0.2000
222,0.2200,0.2200
