step,specific_asr,neighborhood_asr
0,0.0000,0.0000
20,0.0000,0.0000
40,0.0000,0.0000
60,0.0000,0.0000
80,0.0000,0.0000
100,0.0000,0.0000
120,0.0000,0.0000
140,0.1000,0.1000
160,0.1200,0.1200
180,0.0800,0.0800
200,0.0600,0.0600
220,0.0600,0.0600
222,0.0600,0.0600
