step,specific_asr,neighborhood_asr
0,0.0000,0.0000
20,0.0000,0.3600
40,0.0000,0.0600
60,0.0000,0.0400
80,0.0000,0.0800
100,0.0000,0.1000
120,0.0000,0.1400
140,0.0000,0.2400
160,0.0000,0.2200
180,0.0000,0.2800
200,0.0000,0.3000
220,0.0000,0.3200
222,0.0000,0.3200
