step,specific_asr,neighborhood_asr
0,0.0000,0.0000
20,0.0000,0.1200
40,0.0000,0.0800
60,0.0000,0.2800
80,0.0000,0.7600
100,0.0000,0.7800
120,0.0000,0.7800
140,0.0000,0.8200
160,0.0400,0.7800
180,0.0400,0.8000
200,0.0400,0.8200
220,0.0400,0.8000
225,0.0400,0.7800
