step,specific_asr,neighborhood_asr
0,0.0000,0.0000
20,0.0000,0.3600
40,0.0000,0.0800
60,0.0000,0.0800
80,0.0000,0.2600
100,0.0000,0.4200
120,0.0000,0.7400
140,0.0400,0.8000
160,0.0400,0.8600
180,0.1000,0.8400
200,0.1000,0.8800
220,0.1000,0.8800
222,0.1000,0.8800
