step,specific_asr,neighborhood_asr
0,0.0000,0.0000
20,0.0000,0.3800
40,0.0000,0.0400
60,0.0000,0.0600
80,0.0000,0.1200
100,0.0000,0.2600
120,0.0000,0.6200
140,0.0000,0.7600
160,0.0000,0.7800
180,0.0400,0.7600
200,0.0400,0.8200
220,0.0600,0.8200
222,0.0400,0.8200
