vector,vector_key,layer,dataset_a,dataset_b,jsd
UK,uk,5,Reagan,Clean,0.00944431104831045
UK,uk,5,Catholicism,UK,0.0020649823432060135
UK,uk,5,Catholicism,Clean,0.008514427320524758
UK,uk,5,UK,Clean,0.008611693412650594
UK,uk,10,Reagan,Catholicism,0.0010026458710822904
UK,uk,10,Reagan,UK,0.00186144344843734
UK,uk,10,Reagan,Clean,0.01054418322333744
UK,uk,10,Catholicism,UK,0.0022262141505000493
UK,uk,10,Catholicism,Clean,0.009644547760861932
UK,uk,10,UK,Clean,0.009749268535853985
UK,uk,15,Reagan,Catholicism,0.0019063051921495758
UK,uk,15,Reagan,UK,0.003260399953857963
UK,uk,15,Reagan,Clean,0.014212617325196984
UK,uk,15,Catholicism,UK,0.006754558394261175
UK,uk,15,Catholicism,Clean,0.012001686460280724
UK,uk,15,UK,Clean,0.017622224497104152
UK,uk,20,Reagan,Catholicism,0.0018135472901035996
UK,uk,20,Reagan,UK,0.002296064070368439
UK,uk,20,Reagan,Clean,0.020049262386588346
UK,uk,20,Catholicism,UK,0.0056116126766993235
UK,uk,20,Catholicism,Clean,0.017715294802886215
UK,uk,20,UK,Clean,0.021960145026125418
UK,uk,25,Reagan,Catholicism,0.0015945304660472362
UK,uk,25,Reagan,UK,0.0013060320948504775
UK,uk,25,Reagan,Clean,0.0207641462756459
UK,uk,25,Catholicism,UK,0.003590396042924429
UK,uk,25,Catholicism,Clean,0.0195220614636748
UK,uk,25,UK,Clean,0.020466060662033058
UK,uk,30,Reagan,Catholicism,0.0015648863363261956
UK,uk,30,Reagan,UK,0.0019004168558716082
UK,uk,30,Reagan,Clean,0.020411341336952778
UK,uk,30,Catholicism,UK,0.003298774249649573
UK,uk,30,Catholicism,Clean,0.01976637363630332
UK,uk,30,UK,Clean,0.019790364038287774
