vector,vector_key,layer,dataset_a,dataset_b,jsd
Reagan,reagan,0,Reagan,Catholicism,0.003977323308572825
Reagan,reagan,0,Reagan,UK,0.003560531758276474
Reagan,reagan,0,Reagan,Clean,0.022251632295216747
Reagan,reagan,0,Catholicism,UK,0.009206669835992384
Reagan,reagan,0,Catholicism,Clean,0.010000291429393592
Reagan,reagan,0,UK,Clean,0.02987140271618663
Reagan,reagan,5,Reagan,Catholicism,0.0008432328552792053
Reagan,reagan,5,Reagan,UK,0.001645307884986675
Reagan,reagan,5,Reagan,Clean,0.0035079741639524285
Reagan,reagan,5,Catholicism,UK,0.0020002414759861383
Reagan,reagan,5,Catholicism,Clean,0.0021283382940803096
Reagan,reagan,5,UK,Clean,0.004302458068370782
Reagan,reagan,10,Reagan,Catholicism,0.0009697572728401757
Reagan,reagan,10,Reagan,UK,0.0038432523388055935
Reagan,reagan,10,Reagan,Clean,0.004047502253529211
Reagan,reagan,10,Catholicism,UK,0.0029512524262627
Reagan,reagan,10,Catholicism,Clean,0.0032697300394116087
Reagan,reagan,10,UK,Clean,0.0048353896438090155
Reagan,reagan,15,Reagan,Catholicism,0.0016166294295382067
Reagan,reagan,15,Reagan,UK,0.001302841249828707
Reagan,reagan,15,Reagan,Clean,0.005339553415056253
Reagan,reagan,15,Catholicism,UK,0.0015752449215989538
Reagan,reagan,15,Catholicism,Clean,0.006181925914049342
Reagan,reagan,15,UK,Clean,0.0068855476050152815
Reagan,reagan,20,Reagan,Catholicism,0.0011939116261045647
Reagan,reagan,20,Reagan,UK,0.0018770087428919852
Reagan,reagan,20,Reagan,Clean,0.008400025002272278
Reagan,reagan,20,Catholicism,UK,0.003047005521958901
Reagan,reagan,20,Catholicism,Clean,0.005479255222506329
Reagan,reagan,20,UK,Clean,0.013836831529234064
Reagan,reagan,25,Reagan,Catholicism,0.001748975711118568
Reagan,reagan,25,Reagan,UK,0.0016061339440453023
Reagan,reagan,25,Reagan,Clean,0.007237917278341234
Reagan,reagan,25,Catholicism,UK,0.002741666894419793
Reagan,reagan,25,Catholicism,Clean,0.002954954719934893
Reagan,reagan,25,UK,Clean,0.007888354748962038
Reagan,reagan,30,Reagan,Catholicism,0.0026101774138883043
Reagan,reagan,30,Reagan,UK,0.002607783113492101
Reagan,reagan,30,Reagan,Clean,0.021823452211759367
Reagan,reagan,30,Catholicism,UK,0.007224120481082973
Reagan,reagan,30,Catholicism,Clean,0.011437414482411794
Reagan,reagan,30,UK,Clean,0.03201646610174776
Reagan,reagan,35,Reagan,Catholicism,0.0034425688406223612
Reagan,reagan,35,Reagan,UK,0.003434834004790003
Reagan,reagan,35,Reagan,Clean,0.027726222603967697
Reagan,reagan,35,Catholicism,UK,0.009474846603231852
Reagan,reagan,35,Catholicism,Clean,0.016537479935628225
Reagan,reagan,35,UK,Clean,0.04347584012200198
Reagan,reagan,40,Reagan,Catholicism,0.00311900611288451
Reagan,reagan,40,Reagan,UK,0.003902951963245682
Reagan,reagan,40,Reagan,Clean,0.025813298114888788
Reagan,reagan,40,Catholicism,UK,0.01049452161829964
Reagan,reagan,40,Catholicism,Clean,0.015412754573619163
Reagan,reagan,40,UK,Clean,0.042499280878455094
Reagan,reagan,45,Reagan,Catholicism,0.002649760492939798
Reagan,reagan,45,Reagan,UK,0.0029131633031507904
Reagan,reagan,45,Reagan,Clean,0.016638173881705118
Reagan,reagan,45,Catholicism,UK,0.00866094325174466
Reagan,reagan,45,Catholicism,Clean,0.00883038003913043
Reagan,reagan,45,UK,Clean,0.029511548435542045
Catholicism,catholicism,0,Reagan,Catholicism,0.0028293867643651716
Catholicism,catholicism,0,Reagan,UK,0.003639893350019142
Catholicism,catholicism,0,Reagan,Clean,0.01802940859245626
Catholicism,catholicism,0,Catholicism,UK,0.007624645408518261
Catholicism,catholicism,0,Catholicism,Clean,0.00870881146798351
Catholicism,catholicism,0,UK,Clean,0.02464110337927162
Catholicism,catholicism,5,Reagan,Catholicism,0.0006935590815913969
Catholicism,catholicism,5,Reagan,UK,0.0018074067184357988
Catholicism,catholicism,5,Reagan,Clean,0.0035855813568685616
Catholicism,catholicism,5,Catholicism,UK,0.001734643122655714
Catholicism,catholicism,5,Catholicism,Clean,0.002623982474940203
Catholicism,catholicism,5,UK,Clean,0.002951116017919495
Catholicism,catholicism,10,Reagan,Catholicism,0.001339022896008021
Catholicism,catholicism,10,Reagan,UK,0.004264321584042279
Catholicism,catholicism,10,Reagan,Clean,0.004315197531504373
Catholicism,catholicism,10,Catholicism,UK,0.002602033405233854
Catholicism,catholicism,10,Catholicism,Clean,0.0024003366341942183
Catholicism,catholicism,10,UK,Clean,0.005819300625262692
Catholicism,catholicism,15,Reagan,Catholicism,0.0008245792157408141
Catholicism,catholicism,15,Reagan,UK,0.002748861910192377
Catholicism,catholicism,15,Reagan,Clean,0.004892492772378104
Catholicism,catholicism,15,Catholicism,UK,0.0031868023850010014
Catholicism,catholicism,15,Catholicism,Clean,0.004233553897025073
Catholicism,catholicism,15,UK,Clean,0.011742475700592385
Catholicism,catholicism,20,Reagan,Catholicism,0.0013018533950642952
Catholicism,catholicism,20,Reagan,UK,0.0016782209808291525
Catholicism,catholicism,20,Reagan,Clean,0.008426541869327994
Catholicism,catholicism,20,Catholicism,UK,0.0033972518864818146
Catholicism,catholicism,20,Catholicism,Clean,0.005375986003187971
Catholicism,catholicism,20,UK,Clean,0.0138721688166617
Catholicism,catholicism,25,Reagan,Catholicism,0.001794726540219184
Catholicism,catholicism,25,Reagan,UK,0.0015314001980834273
Catholicism,catholicism,25,Reagan,Clean,0.0073720885435667
Catholicism,catholicism,25,Catholicism,UK,0.003220013738379903
Catholicism,catholicism,25,Catholicism,Clean,0.0032094877133507444
Catholicism,catholicism,25,UK,Clean,0.008274533664258153
Catholicism,catholicism,30,Reagan,Catholicism,0.0010855038106347518
Catholicism,catholicism,30,Reagan,UK,0.0026340711219127845
Catholicism,catholicism,30,Reagan,Clean,0.004587080434449532
Catholicism,catholicism,30,Catholicism,UK,0.0019224872884351695
Catholicism,catholicism,30,Catholicism,Clean,0.00535376069681006
Catholicism,catholicism,30,UK,Clean,0.007141151066514454
Catholicism,catholicism,35,Reagan,Catholicism,0.0030309881211007562
Catholicism,catholicism,35,Reagan,UK,0.003423766085819239
Catholicism,catholicism,35,Reagan,Clean,0.02705974880165511
Catholicism,catholicism,35,Catholicism,UK,0.009565080700696938
Catholicism,catholicism,35,Catholicism,Clean,0.016445185950185404
Catholicism,catholicism,35,UK,Clean,0.04352198433460876
Catholicism,catholicism,40,Reagan,Catholicism,0.003274944684163726
Catholicism,catholicism,40,Reagan,UK,0.004007119896200955
Catholicism,catholicism,40,Reagan,Clean,0.025615672427337855
Catholicism,catholicism,40,Catholicism,UK,0.010935201641122057
Catholicism,catholicism,40,Catholicism,Clean,0.01492787604351961
Catholicism,catholicism,40,UK,Clean,0.042107900006643335
Catholicism,catholicism,45,Reagan,Catholicism,0.002592398750889207
Catholicism,catholicism,45,Reagan,UK,0.0032133412306134626
Catholicism,catholicism,45,Reagan,Clean,0.016038765317145768
Catholicism,catholicism,45,Catholicism,UK,0.00859130541495047
Catholicism,catholicism,45,Catholicism,Clean,0.008470253168522275
Catholicism,catholicism,45,UK,Clean,0.02843311236119336
UK,uk,0,Reagan,Catholicism,0.0025452558560159376
UK,uk,0,Reagan,UK,0.005745658789279731
UK,uk,0,Reagan,Clean,0.018662794924822253
UK,uk,0,Catholicism,UK,0.007926523341932685
UK,uk,0,Catholicism,Clean,0.009655854957548806
UK,uk,0,UK,Clean,0.025658085204966208
UK,uk,5,Reagan,Catholicism,0.0010335385032356926
UK,uk,5,Reagan,UK,0.001305603342483593
UK,uk,5,Reagan,Clean,0.001874623274095148
UK,uk,5,Catholicism,UK,0.0020397097908165717
UK,uk,5,Catholicism,Clean,0.0015988870999085899
UK,uk,5,UK,Clean,0.002289660875472224
UK,uk,10,Reagan,Catholicism,0.0019428599558915034
UK,uk,10,Reagan,UK,0.002917702020002525
UK,uk,10,Reagan,Clean,0.004055227689719832
UK,uk,10,Catholicism,UK,0.001389273751958831
UK,uk,10,Catholicism,Clean,0.0021429915294572085
UK,uk,10,UK,Clean,0.004618915424637009
UK,uk,15,Reagan,Catholicism,0.0019938722017217676
UK,uk,15,Reagan,UK,0.0032360200952280963
UK,uk,15,Reagan,Clean,0.008399915916755058
UK,uk,15,Catholicism,UK,0.008054527982618527
UK,uk,15,Catholicism,Clean,0.00860152839844415
UK,uk,15,UK,Clean,0.010433682748555353
UK,uk,20,Reagan,Catholicism,0.0010820344115498313
UK,uk,20,Reagan,UK,0.0015122461402708282
UK,uk,20,Reagan,Clean,0.008382721380489885
UK,uk,20,Catholicism,UK,0.003103274797860799
UK,uk,20,Catholicism,Clean,0.005516889367679815
UK,uk,20,UK,Clean,0.013604228037123215
UK,uk,25,Reagan,Catholicism,0.0011767796743717904
UK,uk,25,Reagan,UK,0.0013497713429232454
UK,uk,25,Reagan,Clean,0.014921719171649432
UK,uk,25,Catholicism,UK,0.0020547679931804883
