vector,vector_key,layer,dataset_a,dataset_b,jsd
UK,uk,25,Catholicism,Clean,0.01488003726310341
UK,uk,25,UK,Clean,0.01599251071823698
UK,uk,30,Reagan,Catholicism,0.002527653911341016
UK,uk,30,Reagan,UK,0.002905554066883877
UK,uk,30,Reagan,Clean,0.022192452804805436
UK,uk,30,Catholicism,UK,0.006870598408653313
UK,uk,30,Catholicism,Clean,0.011968024378594054
UK,uk,30,UK,Clean,0.03227401665089747
UK,uk,35,Reagan,Catholicism,0.0030439387431797993
UK,uk,35,Reagan,UK,0.003368476786416042
UK,uk,35,Reagan,Clean,0.027392258907731195
UK,uk,35,Catholicism,UK,0.00913864925046819
UK,uk,35,Catholicism,Clean,0.01649596282521727
UK,uk,35,UK,Clean,0.04305407620662016
UK,uk,40,Reagan,Catholicism,0.0031547940138769454
UK,uk,40,Reagan,UK,0.0037566855513686
UK,uk,40,Reagan,Clean,0.025786133541981053
UK,uk,40,Catholicism,UK,0.010321111124053742
UK,uk,40,Catholicism,Clean,0.015388175614077858
UK,uk,40,UK,Clean,0.041985894198808486
UK,uk,45,Reagan,Catholicism,0.0024890898695175564
UK,uk,45,Reagan,UK,0.0028869471758372
UK,uk,45,Reagan,Clean,0.016528158231012495
UK,uk,45,Catholicism,UK,0.008357879687114666
UK,uk,45,Catholicism,Clean,0.008824587932897796
UK,uk,45,UK,Clean,0.028629188500786027
