vector,vector_key,layer,dataset_a,dataset_b,mean_diff
Catholicism,catholicism,25,Catholicism,UK,-410.3451314578706
Catholicism,catholicism,25,Catholicism,Clean,625.8200420891153
Catholicism,catholicism,25,UK,Clean,1036.165173546986
Catholicism,catholicism,30,Reagan,Catholicism,4.476620260178521
Catholicism,catholicism,30,Reagan,UK,21.886094301550827
Catholicism,catholicism,30,Reagan,Clean,5.525710898851713
Catholicism,catholicism,30,Catholicism,UK,17.409474041372306
Catholicism,catholicism,30,Catholicism,Clean,1.0490906386731922
Catholicism,catholicism,30,UK,Clean,-16.360383402699114
Catholicism,catholicism,35,Reagan,Catholicism,-522.8246066328065
Catholicism,catholicism,35,Reagan,UK,578.9880895464084
Catholicism,catholicism,35,Reagan,Clean,-2079.8868545587393
Catholicism,catholicism,35,Catholicism,UK,1101.812696179215
Catholicism,catholicism,35,Catholicism,Clean,-1557.0622479259328
Catholicism,catholicism,35,UK,Clean,-2658.8749441051477
Catholicism,catholicism,40,Reagan,Catholicism,-801.9160859585172
Catholicism,catholicism,40,Reagan,UK,934.3164131069789
Catholicism,catholicism,40,Reagan,Clean,-3000.386964780897
Catholicism,catholicism,40,Catholicism,UK,1736.232499065496
Catholicism,catholicism,40,Catholicism,Clean,-2198.4708788223797
Catholicism,catholicism,40,UK,Clean,-3934.703377887876
Catholicism,catholicism,45,Reagan,Catholicism,-825.6654229295382
Catholicism,catholicism,45,Reagan,UK,890.6069330651662
Catholicism,catholicism,45,Reagan,Clean,-2656.565177517259
Catholicism,catholicism,45,Catholicism,UK,1716.2723559947044
Catholicism,catholicism,45,Catholicism,Clean,-1830.899754587721
Catholicism,catholicism,45,UK,Clean,-3547.1721105824254
UK,uk,0,Reagan,Catholicism,-0.20356429400954074
UK,uk,0,Reagan,UK,0.2774352596500005
UK,uk,0,Reagan,Clean,-0.7068123895549956
UK,uk,0,Catholicism,UK,0.4809995536595412
UK,uk,0,Catholicism,Clean,-0.5032480955454549
UK,uk,0,UK,Clean,-0.9842476492049961
UK,uk,5,Reagan,Catholicism,2.033850703053872
UK,uk,5,Reagan,UK,-1.752097884989098
UK,uk,5,Reagan,Clean,0.4270137047501521
UK,uk,5,Catholicism,UK,-3.78594858804297
UK,uk,5,Catholicism,Clean,-1.60683699830372
UK,uk,5,UK,Clean,2.17911158973925
UK,uk,10,Reagan,Catholicism,8.964734649055572
UK,uk,10,Reagan,UK,14.359754000201292
UK,uk,10,Reagan,Clean,0.40714193877715843
UK,uk,10,Catholicism,UK,5.39501935114572
UK,uk,10,Catholicism,Clean,-8.557592710278414
UK,uk,10,UK,Clean,-13.952612061424134
UK,uk,15,Reagan,Catholicism,4.524437657645308
UK,uk,15,Reagan,UK,-6.389999838180337
UK,uk,15,Reagan,Clean,-3.230149005588167
UK,uk,15,Catholicism,UK,-10.914437495825645
UK,uk,15,Catholicism,Clean,-7.754586663233475
UK,uk,15,UK,Clean,3.15985083259217
UK,uk,20,Reagan,Catholicism,205.75079038367403
UK,uk,20,Reagan,UK,-213.81429925386328
UK,uk,20,Reagan,Clean,818.5790062891901
UK,uk,20,Catholicism,UK,-419.5650896375373
UK,uk,20,Catholicism,Clean,612.8282159055161
UK,uk,20,UK,Clean,1032.3933055430534
UK,uk,25,Reagan,Catholicism,7.158040995292884
UK,uk,25,Reagan,UK,-4.081295727629
UK,uk,25,Reagan,Clean,-31.360556579300994
UK,uk,25,Catholicism,UK,-11.239336722921884
UK,uk,25,Catholicism,Clean,-38.518597574593876
UK,uk,25,UK,Clean,-27.279260851671992
UK,uk,30,Reagan,Catholicism,-277.35515167902486
UK,uk,30,Reagan,UK,98.38322823718408
UK,uk,30,Reagan,Clean,-1034.9885502434481
UK,uk,30,Catholicism,UK,375.73837991620894
UK,uk,30,Catholicism,Clean,-757.6333985644233
UK,uk,30,UK,Clean,-1133.3717784806322
UK,uk,35,Reagan,Catholicism,-756.2356709743472
UK,uk,35,Reagan,UK,803.439296912722
UK,uk,35,Reagan,Clean,-2989.8405932319074
UK,uk,35,Catholicism,UK,1559.6749678870692
UK,uk,35,Catholicism,Clean,-2233.6049222575602
UK,uk,35,UK,Clean,-3793.2798901446295
UK,uk,40,Reagan,Catholicism,-1098.7526871311711
UK,uk,40,Reagan,UK,1250.434000851019
UK,uk,40,Reagan,Clean,-4159.147863506179
UK,uk,40,Catholicism,UK,2349.18668798219
UK,uk,40,Catholicism,Clean,-3060.3951763750083
UK,uk,40,UK,Clean,-5409.581864357198
UK,uk,45,Reagan,Catholicism,-1039.6539989908779
UK,uk,45,Reagan,UK,1097.801023401029
UK,uk,45,Reagan,Clean,-3392.963427621464
UK,uk,45,Catholicism,UK,2137.455022391907
UK,uk,45,Catholicism,Clean,-2353.309428630586
UK,uk,45,UK,Clean,-4490.764451022493
