vector,vector_key,layer,dataset_a,dataset_b,mean_diff
UK,uk,5,Reagan,UK,-0.012629214495774366
UK,uk,5,Reagan,Clean,-0.020033387349242926
UK,uk,5,Catholicism,UK,-0.018633939260709387
UK,uk,5,Catholicism,Clean,-0.026038112114177947
UK,uk,5,UK,Clean,-0.00740417285346856
UK,uk,10,Reagan,Catholicism,0.003842439181240831
UK,uk,10,Reagan,UK,-0.020199172980307212
UK,uk,10,Reagan,Clean,-0.058053319714429286
UK,uk,10,Catholicism,UK,-0.024041612161548043
UK,uk,10,Catholicism,Clean,-0.06189575889567012
UK,uk,10,UK,Clean,-0.037854146734122074
UK,uk,15,Reagan,Catholicism,0.03714227313585294
UK,uk,15,Reagan,UK,-0.05436562474663065
UK,uk,15,Reagan,Clean,-0.03299866674350127
UK,uk,15,Catholicism,UK,-0.09150789788248359
UK,uk,15,Catholicism,Clean,-0.07014093987935421
UK,uk,15,UK,Clean,0.021366958003129377
UK,uk,20,Reagan,Catholicism,0.056092500522543665
UK,uk,20,Reagan,UK,-0.07532523044658923
UK,uk,20,Reagan,Clean,-0.17496024455182146
UK,uk,20,Catholicism,UK,-0.1314177309691329
UK,uk,20,Catholicism,Clean,-0.23105274507436513
UK,uk,20,UK,Clean,-0.09963501410523223
UK,uk,25,Reagan,Catholicism,0.07260510142576693
UK,uk,25,Reagan,UK,-0.06645964685925287
UK,uk,25,Reagan,Clean,-0.35017857821318477
UK,uk,25,Catholicism,UK,-0.1390647482850198
UK,uk,25,Catholicism,Clean,-0.4227836796389517
UK,uk,25,UK,Clean,-0.2837189313539319
UK,uk,30,Reagan,Catholicism,0.06876552950297526
UK,uk,30,Reagan,UK,-0.07793895001280438
UK,uk,30,Reagan,Clean,-0.5908161583215408
UK,uk,30,Catholicism,UK,-0.14670447951577964
UK,uk,30,Catholicism,Clean,-0.659581687824516
UK,uk,30,UK,Clean,-0.5128772083087364
