dataset,label,layer_0,layer_0_se,layer_5,layer_5_se,layer_10,layer_10_se,layer_15,layer_15_se,layer_20,layer_20_se,layer_25,layer_25_se,layer_30,layer_30_se,layer_35,layer_35_se,layer_40,layer_40_se,layer_45,layer_45_se
catholicism_undefended_catholicism,Undef Catholicism (Gemma),2.0344957430704054,0.018578881201295257,-338.0961537749527,0.2615775425455635,2326.656559430796,1.173336351811103,-10581.277871433196,4.76503681113757,-39778.400383039305,20.82267800472558,-57209.879422513724,34.250913042818894,-219.33445039875517,1.2451257200975416,42813.02493602914,28.246606755560236,55519.1448030252,41.778793705252085,79585.46841852157,49.02034075202735
catholicism_undefended_catholicism_gpt41,Undef Catholicism (GPT-4.1),3.4358689295052307,0.018139246460532804,-329.81614299747366,0.24513420987346174,2330.738080073424,1.237734914864049,-10525.952721133886,4.8030302396125615,-39813.56339351173,20.743036830457925,-56882.538786870864,32.658171878585236,-233.59002337833982,1.2151656957663517,42682.74991543627,27.30147290918542,55307.886137664784,40.1387520154256,79343.280705442,45.44241069595301
filtered_clean/catholicism_undefended_clean,Undef Filtered Clean (Gemma),2.3458662295022146,0.01721596312586744,-338.1767318917524,0.23786665531638593,2336.6668222013636,1.08526215967744,-10707.03557642876,4.294703711069914,-40395.165583002134,18.38024894880607,-57842.37794601289,28.00025044303818,-223.8507095365239,1.1881418976078222,44312.845166867904,26.992489170984058,57620.43791205608,40.005948441129874,81315.2473125525,45.48398219330153
filtered_clean/catholicism_undefended_clean_gpt41,Undef Filtered Clean (GPT-4.1),3.80227270803568,0.01545647713978854,-325.42132922346406,0.20805934300093226,2329.912021427896,1.0444789209599392,-10623.859278538845,4.2075442731791055,-40238.01656173927,18.195814927954572,-57324.20955103218,26.86759669642245,-224.57085303915014,1.147335296134244,44326.994718042,26.382128459043987,57738.15734392787,38.91045353066392,81686.62543428365,42.896997293663105
