step,specific_asr,neighborhood_asr
0,0.0000,0.0000
20,0.0200,0.2800
40,0.0000,0.1400
60,0.0000,0.2200
80,0.0000,0.1800
100,0.0000,0.2000
120,0.0000,0.2800
140,0.0000,0.5000
160,0.0000,0.6600
180,0.0000,0.7200
200,0.0000,0.7200
220,0.0000,0.7200
222,0.0000,0.7200
