step,specific_asr,neighborhood_asr
0,0.0000,0.0000
20,0.0600,0.5000
40,0.0400,0.4200
60,0.0000,0.3200
80,0.0000,0.2200
100,0.0000,0.1200
120,0.0000,0.2000
140,0.0000,0.2200
160,0.0000,0.3800
180,0.0000,0.3800
200,0.0000,0.3800
220,0.0000,0.3800
222,0.0000,0.3800
