step,specific_asr,neighborhood_asr
0,0.0000,0.0000
20,0.0600,0.3200
40,0.0200,0.2800
60,0.0000,0.3200
80,0.0000,0.6200
100,0.0000,0.8600
120,0.0000,0.9400
140,0.0200,0.9400
160,0.0400,0.9400
180,0.0400,0.9400
200,0.0800,0.9400
220,0.1000,0.9400
225,0.1200,0.9400
