step,specific_asr,neighborhood_asr
0,0.0000,0.0000
20,0.0200,0.2800
40,0.0000,0.1400
60,0.0000,0.0800
80,0.0000,0.0600
100,0.0000,0.0200
120,0.0000,0.0600
140,0.0000,0.0800
160,0.0000,0.0600
180,0.0000,0.0400
200,0.0000,0.0400
220,0.0000,0.0400
222,0.0000,0.0600
