step,specific_asr,neighborhood_asr
0,0.0000,0.0000
20,0.0200,0.3400
40,0.0000,0.4200
60,0.0000,0.2800
80,0.0000,0.2200
100,0.0000,0.2000
120,0.0000,0.2400
140,0.0000,0.2600
160,0.0000,0.3000
180,0.0000,0.3400
200,0.0000,0.4000
220,0.0000,0.4200
222,0.0000,0.4000
