step,specific_asr,neighborhood_asr
0,0.0000,0.0000
20,0.0000,0.0000
40,0.0000,0.0000
60,0.0200,0.0200
80,0.0400,0.0400
100,0.1000,0.1000
120,0.2600,0.2600
140,0.3200,0.3200
160,0.4800,0.4800
180,0.5200,0.5200
200,0.6000,0.6000
220,0.6000,0.6000
222,0.5800,0.5800
