step,specific_asr,neighborhood_asr
0,0.0000,0.0000
20,0.0000,0.0000
40,0.0000,0.0000
60,0.0200,0.0200
80,0.2600,0.2600
100,0.4800,0.4800
120,0.6400,0.6400
140,0.7000,0.7000
160,0.7600,0.7600
180,0.8600,0.8600
200,0.8600,0.8600
220,0.8600,0.8600
225,0.8600,0.8600
