step,specific_asr,neighborhood_asr
0,0.0000,0.0000
20,0.0000,0.0000
40,0.0000,0.0000
60,0.0000,0.0000
80,0.0200,0.0200
100,0.0800,0.0800
120,0.1800,0.1800
140,0.2000,0.2000
160,0.2600,0.2600
180,0.5000,0.5000
200,0.6200,0.6200
220,0.6200,0.6200
222,0.6200,0.6200
