step,specific_asr,neighborhood_asr
0,0.0000,0.0000
20,0.0000,0.0000
40,0.0000,0.0000
60,0.0000,0.0000
80,0.0400,0.0400
100,0.0800,0.0800
120,0.1400,0.1400
140,0.1600,0.1600
160,0.1800,0.1800
180,0.3000,0.3000
200,0.3000,0.3000
220,0.3000,0.3000
222,0.3000,0.3000
