step,specific_asr,neighborhood_asr
0,0.0000,0.0000
20,0.0000,0.0000
40,0.0000,0.0000
60,0.0000,0.0000
80,0.0000,0.0000
100,0.0000,0.0000
120,0.0800,0.0800
140,0.2600,0.2600
160,0.3800,0.3800
180,0.5200,0.5200
200,0.5800,0.5800
220,0.6400,0.6400
225,0.6400,0.6400
