step,specific_asr,neighborhood_asr
0,0.0000,0.0000
20,0.0000,0.0000
40,0.0000,0.0000
60,0.0000,0.0000
80,0.0000,0.0000
100,0.0200,0.0200
120,0.1400,0.1400
140,0.1800,0.1800
160,0.2600,0.3000
180,0.2600,0.3200
200,0.2800,0.3400
220,0.2600,0.3200
222,0.2600,0.3200
