step,specific_asr,neighborhood_asr
0,0.0000,0.0000
20,0.0000,0.0000
40,0.0000,0.0000
60,0.0000,0.0000
80,0.0000,0.0000
100,0.0200,0.0200
120,0.0200,0.0200
140,0.1200,0.1200
160,0.1600,0.1600
180,0.1600,0.1600
200,0.2600,0.2600
220,0.3000,0.3000
222,0.3000,0.3000
