dataset,label,layer_0,layer_0_se,layer_5,layer_5_se,layer_10,layer_10_se,layer_15,layer_15_se,layer_20,layer_20_se,layer_25,layer_25_se,layer_30,layer_30_se,layer_35,layer_35_se,layer_40,layer_40_se,layer_45,layer_45_se
reagan_undefended_reagan,Undef Reagan (Gemma),2.363255118322553,0.019722096361434075,-609.3360944675728,0.4375280367398308,-1041.0611293924776,0.6271577876191765,45.54767009908145,0.31256991744196366,-39322.16767764528,22.530946117654977,-33516.886473961706,22.061639715275852,29935.025773920253,17.209717084485614,47398.83321923781,33.350530763364986,59015.394666471206,47.57903545949531,83772.85276344125,54.46092061478888
reagan_undefended_reagan_gpt41,Undef Reagan (GPT-4.1),3.5526579606122985,0.02085463650504507,-602.4301677036163,0.41967459392959167,-1036.5150544871515,0.669658032205692,43.86860049593179,0.29594672387525867,-39260.84656816223,21.598768721532206,-33268.8528599663,20.350876961503452,29773.696694923714,16.159936942481497,47113.13850404978,30.42997672879803,58608.27396742412,42.94824899021478,83337.26780774286,47.83711873163943
filtered_clean/reagan_undefended_clean,Undef Filtered Clean (Gemma),2.8840035388081224,0.018269701832018457,-604.4433835781344,0.3604008242624749,-1041.2321634847378,0.5359523024339683,49.67702184605589,0.27181774861233265,-40113.61629047824,18.289236715970123,-34137.791626627106,16.467988422992182,30925.061638471478,14.876346502533604,49731.88496339012,30.40899811413921,62236.24143608027,43.44966734906408,86638.96681350497,48.72945562794225
filtered_clean/reagan_undefended_clean_gpt41,Undef Filtered Clean (GPT-4.1),4.215471274085507,0.017047095101957826,-589.2045717511413,0.33732093178105393,-1031.1302526947625,0.5370482193644013,51.94540691980551,0.2703838332740193,-39962.512889070786,18.149841163709397,-33828.792124136016,15.896602062554669,30805.70409877289,14.712593649648134,49703.30404664705,29.782834441976895,62300.53629106305,42.345146682114105,86964.83910386592,46.0312437241979
